no:,Category,Location,Snippet,Emotion
1,Animal,Jungle,Rustle in bushes, Curiosity
2,Food,Market,Spice aroma, Delight
3,Travel,Desert,Sand whispers, Solitude
4,Music,Park,Guitar strum, Joy
5,Art,Cafe,Brushstrokes dance, Inspiration
6,Technology,Lab,Data blips, Curiosity
7,History,Ruins,Whispers of past, Awe
8,Nature,Beach,Seashells whisper, Peace
9,Science,Observatory,Stars blink, Wonder
10,Literature,Library,Pages whisper, Knowledge
11,Mythology,Mountain,Mist swirls, Mystery
12,Language,Classroom,Letters sing, Connection
13,Sports,Stadium,Roar of crowd, Excitement
14,Fashion,Boutique,Silks shimmer, Desire
15,Film,Cinema,Lights dim, Anticipation
16,Dance,Studio,Feet fly, Freedom
17,Comedy,Stage,Punchline pops, Laughter
18,Drama,Theatre,Tears fall, Empathy
19,Music,Street,Melodies echo, Hope
20,Art,Gallery,Canvas whispers, Reflection
